CA(EØ) [°];CA(EL) [°];CA(ER) [°];CA(C) [°];CA(PØ) [°];CA(PL) [°];CA(PR) [°];CA(TØ) [°];CA(TL) [°];CA(TR) [°];Volumen [µl];Ø [mm];Área de la base [mm²];Superficie de la gota [mm²];SL Tilt [°];IFT [mN/m];Fase de la gota;Fase ambiente;Sustrato;?(d) [g/cm³];?(a) [g/cm³];?? [g/cm³];X [mm];Y [mm];Inclinación [°];T(a) [°C];T(d) [°C];T(s) [°C];Presión [bar];Humedad [% HR];Tamaño de referencia [mm];Referencia [px/mm]
27,31;26,82;27,79;26,83;25,67;25,31;26,04;27,06;26,73;27,40;2,49;3,590;10,122;11,695;0,25;306,97;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,30;26,81;27,79;26,84;25,43;25,02;25,84;27,02;26,68;27,37;2,45;3,590;10,122;11,620;0,25;451,99;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,30;26,81;27,79;26,83;25,71;25,31;26,10;27,04;26,70;27,38;2,46;3,590;10,122;11,623;0,25;2499,02;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,36;26,86;27,87;26,82;25,70;25,25;26,16;27,08;26,73;27,44;2,42;3,585;10,094;11,577;0,25;232,07;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,34;26,87;27,81;26,82;25,56;25,19;25,93;27,07;26,76;27,38;2,42;3,580;10,066;11,546;0,25;363,07;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,33;26,84;27,81;26,82;25,75;25,60;25,90;27,07;26,77;27,37;2,46;3,590;10,122;11,622;0,25;497,52;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,24;26,71;27,76;26,82;25,74;25,66;25,82;27,03;26,66;27,41;2,45;3,590;10,122;11,620;0,25;83714,68;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,24;26,72;27,75;26,82;25,59;25,03;26,15;27,01;26,68;27,35;2,42;3,585;10,094;11,576;0,25;294,12;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,31;26,79;27,82;26,82;25,78;25,64;25,93;27,07;26,76;27,38;2,42;3,585;10,094;11,574;0,25;253,82;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,31;26,83;27,79;26,81;25,72;25,25;26,18;27,05;26,75;27,35;2,45;3,590;10,122;11,620;0,25;718,52;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,27;26,77;27,77;26,81;25,72;25,35;26,09;27,02;26,68;27,36;2,42;3,585;10,094;11,576;0,25;413,54;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,32;26,78;27,85;26,81;25,73;25,23;26,22;27,05;26,70;27,39;2,42;3,585;10,094;11,573;0,25;218,77;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,31;26,81;27,80;26,81;25,82;25,52;26,12;27,09;26,79;27,40;2,42;3,585;10,094;11,574;0,25;1235,24;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,24;26,74;27,73;26,81;25,74;25,56;25,92;27,03;26,72;27,34;2,45;3,590;10,122;11,618;0,25;213,82;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,23;26,75;27,72;26,81;25,57;25,33;25,81;26,99;26,65;27,33;2,42;3,585;10,094;11,575;0,25;401,93;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,22;26,74;27,71;26,80;25,72;25,35;26,09;27,00;26,67;27,33;2,45;3,590;10,122;11,617;0,25;424,61;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,25;26,75;27,75;26,79;25,76;25,36;26,15;27,04;26,72;27,37;2,45;3,590;10,122;11,619;0,25;2394,04;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,22;26,72;27,72;26,79;25,77;25,39;26,14;27,01;26,67;27,36;2,45;3,590;10,122;11,618;0,25;436,54;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,23;26,71;27,74;26,80;25,63;25,25;26,01;27,02;26,65;27,38;2,42;3,585;10,094;11,574;0,25;194,46;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,22;26,69;27,74;26,80;25,71;25,44;25,98;26,99;26,65;27,33;2,45;3,590;10,122;11,621;0,25;404,92;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,25;26,72;27,77;26,79;25,75;25,28;26,23;27,03;26,67;27,39;2,45;3,590;10,122;11,619;0,25;1257,20;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,26;26,74;27,78;26,79;25,88;25,75;26,01;27,04;26,71;27,37;2,42;3,585;10,094;11,573;0,25;181,41;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,29;26,78;27,79;26,79;25,84;25,49;26,19;27,05;26,75;27,36;2,42;3,585;10,094;11,576;0,25;218,51;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,17;26,64;27,70;26,79;25,77;25,41;26,14;26,99;26,65;27,34;2,42;3,585;10,094;11,575;0,25;191,48;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,23;26,71;27,75;26,78;25,73;25,33;26,12;27,01;26,69;27,34;2,42;3,585;10,094;11,574;0,25;217,70;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,17;26,68;27,67;26,78;25,80;25,35;26,24;27,01;26,70;27,32;2,45;3,590;10,122;11,620;0,25;317,48;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,21;26,70;27,71;26,78;25,67;25,10;26,25;26,99;26,68;27,30;2,42;3,585;10,094;11,575;0,25;287,67;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,16;26,65;27,67;26,77;25,90;25,68;26,12;26,97;26,65;27,29;2,45;3,590;10,122;11,618;0,25;483,22;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,20;26,72;27,69;26,78;25,87;25,61;26,13;27,03;26,69;27,36;2,41;3,585;10,094;11,570;0,25;207,71;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,16;26,66;27,65;26,77;25,72;25,38;26,06;26,97;26,62;27,31;2,45;3,590;10,122;11,618;0,25;451,27;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,15;26,67;27,64;26,77;25,79;25,47;26,11;26,96;26,65;27,27;2,45;3,590;10,122;11,619;0,25;1253,29;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,22;26,71;27,74;26,76;25,99;25,30;26,67;27,04;26,71;27,37;2,42;3,585;10,094;11,572;0,25;306,53;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,15;26,62;27,69;26,76;25,92;25,35;26,50;26,99;26,64;27,34;2,45;3,590;10,122;11,621;0,25;351,89;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,14;26,63;27,65;26,75;25,84;25,09;26,58;26,95;26,59;27,32;2,45;3,590;10,122;11,622;0,25;471,28;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,13;26,61;27,64;26,75;25,97;25,07;26,87;26,99;26,69;27,29;2,45;3,590;10,122;11,619;0,25;9645,60;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,13;26,61;27,64;26,76;25,92;25,36;26,47;26,96;26,62;27,30;2,45;3,590;10,122;11,618;0,25;721,35;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,15;26,60;27,69;26,76;25,84;25,18;26,49;26,97;26,63;27,32;2,45;3,590;10,122;11,620;0,25;219,76;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,13;26,65;27,62;26,75;25,83;25,30;26,37;26,97;26,66;27,29;2,42;3,585;10,094;11,571;0,25;155,73;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,12;26,60;27,64;26,75;25,80;25,07;26,52;26,97;26,59;27,34;2,45;3,590;10,122;11,624;0,25;6161,49;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,12;26,62;27,62;26,75;25,78;25,18;26,37;26,94;26,59;27,29;2,41;3,585;10,094;11,572;0,25;178,07;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,13;26,63;27,63;26,74;25,73;25,24;26,21;26,95;26,63;27,28;2,45;3,590;10,122;11,616;0,25;530,10;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,10;26,62;27,58;26,75;25,76;25,29;26,23;26,93;26,61;27,25;2,45;3,590;10,122;11,618;0,25;328,91;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,14;26,63;27,66;26,74;25,90;25,30;26,49;26,96;26,60;27,32;2,45;3,590;10,122;11,617;0,25;3353,83;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,17;26,69;27,66;26,74;25,88;25,12;26,63;27,00;26,68;27,31;2,45;3,590;10,122;11,616;0,25;3837,79;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,10;26,57;27,63;26,74;26,04;25,14;26,93;26,93;26,52;27,34;2,45;3,590;10,122;11,618;0,25;171,84;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,13;26,63;27,63;26,73;26,03;25,30;26,77;26,97;26,66;27,29;2,42;3,585;10,094;11,573;0,25;239,31;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,12;26,62;27,63;26,73;25,91;25,22;26,60;26,97;26,63;27,30;2,45;3,590;10,122;11,618;0,25;797,53;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,08;26,56;27,59;26,73;25,97;25,20;26,74;26,95;26,60;27,30;2,44;3,590;10,122;11,615;0,25;444,84;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,12;26,61;27,64;26,73;25,86;25,26;26,46;26,98;26,64;27,31;2,42;3,585;10,094;11,573;0,25;146,68;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,07;26,56;27,59;26,73;25,94;25,27;26,62;26,94;26,58;27,30;2,45;3,590;10,122;11,618;0,25;205,67;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,09;26,61;27,58;26,72;26,02;25,53;26,51;26,95;26,64;27,26;2,45;3,590;10,122;11,618;0,25;233,00;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,11;26,62;27,59;26,72;25,98;25,14;26,83;26,96;26,64;27,28;2,45;3,590;10,122;11,619;0,25;3556,20;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,05;26,55;27,55;26,72;25,88;24,97;26,80;26,93;26,62;27,25;2,41;3,585;10,094;11,571;0,25;308,86;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,06;26,55;27,58;26,71;25,99;25,17;26,81;26,94;26,54;27,33;2,45;3,590;10,122;11,621;0,25;161,48;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,09;26,57;27,60;26,71;26,05;25,27;26,82;26,96;26,62;27,30;2,45;3,590;10,122;11,622;0,25;158,97;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,06;26,57;27,55;26,71;26,12;25,29;26,96;26,93;26,58;27,29;2,44;3,590;10,122;11,617;0,25;147,03;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,10;26,58;27,62;26,71;26,00;25,48;26,53;26,91;26,57;27,25;2,45;3,590;10,122;11,622;0,25;147,76;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,07;26,52;27,61;26,70;25,93;25,02;26,85;26,92;26,56;27,28;2,45;3,590;10,122;11,619;0,25;224,55;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,05;26,53;27,57;26,70;25,93;25,36;26,50;26,89;26,57;27,22;2,41;3,585;10,094;11,571;0,25;131,67;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,05;26,53;27,58;26,71;25,93;24,96;26,89;26,91;26,58;27,24;2,42;3,585;10,094;11,575;0,25;122,30;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,09;26,60;27,59;26,70;26,06;25,44;26,69;26,94;26,65;27,24;2,41;3,585;10,094;11,572;0,25;117,97;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,07;26,55;27,58;26,70;26,03;25,37;26,70;26,93;26,62;27,23;2,44;3,590;10,122;11,617;0,25;253,51;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,04;26,51;27,57;26,70;26,04;25,48;26,59;26,91;26,57;27,25;2,44;3,590;10,122;11,616;0,25;198,21;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,03;26,56;27,50;26,69;25,98;25,09;26,87;26,90;26,58;27,22;2,44;3,590;10,122;11,617;0,25;140,85;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,03;26,53;27,53;26,68;26,10;25,41;26,78;26,90;26,60;27,21;2,44;3,590;10,122;11,617;0,25;143,11;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,98;26,45;27,52;26,69;25,95;25,03;26,87;26,91;26,56;27,26;2,45;3,590;10,122;11,618;0,25;164,61;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,03;26,54;27,52;26,68;25,99;25,35;26,63;26,88;26,55;27,22;2,45;3,590;10,122;11,617;0,25;169,20;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,98;26,47;27,50;26,68;25,92;25,15;26,70;26,86;26,53;27,19;2,41;3,585;10,094;11,573;0,25;150,33;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,99;26,51;27,47;26,67;26,17;25,64;26,71;26,91;26,62;27,19;2,45;3,590;10,122;11,618;0,25;157,81;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,03;26,52;27,55;26,68;26,10;25,14;27,06;26,92;26,57;27,28;2,42;3,585;10,094;11,574;0,25;114,90;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,00;26,46;27,54;26,67;26,19;25,40;26,98;26,91;26,55;27,26;2,44;3,590;10,122;11,616;0,25;182,31;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,02;26,53;27,52;26,67;26,20;25,29;27,11;26,90;26,57;27,24;2,45;3,590;10,122;11,616;0,25;239,79;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,96;26,43;27,49;26,67;25,90;24,92;26,87;26,84;26,51;27,17;2,45;3,590;10,122;11,617;0,25;221,82;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,98;26,46;27,50;26,66;26,19;25,54;26,84;26,85;26,55;27,16;2,41;3,590;10,122;11,600;0,25;102,76;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,99;26,46;27,52;26,66;26,14;25,12;27,17;26,87;26,49;27,24;2,42;3,590;10,122;11,602;0,25;103,11;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,97;26,46;27,47;26,66;25,97;25,20;26,74;26,86;26,54;27,19;2,45;3,590;10,122;11,621;0,25;106,92;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,02;26,51;27,53;26,66;26,10;25,36;26,85;26,92;26,60;27,24;2,44;3,590;10,122;11,617;0,25;223,69;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,99;26,49;27,48;26,66;26,12;25,31;26,93;26,89;26,53;27,25;2,44;3,590;10,122;11,615;0,25;251,55;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,99;26,48;27,51;26,65;25,97;24,96;26,99;26,89;26,57;27,21;2,45;3,590;10,122;11,619;0,25;279,16;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,99;26,49;27,49;26,65;26,29;25,68;26,90;26,87;26,56;27,18;2,44;3,590;10,122;11,617;0,25;145,26;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,96;26,43;27,50;26,65;26,21;25,47;26,94;26,88;26,51;27,25;2,44;3,590;10,122;11,616;0,25;216,30;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
27,00;26,49;27,52;26,65;26,14;25,44;26,85;26,88;26,55;27,21;2,45;3,590;10,122;11,623;0,25;265,01;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,96;26,41;27,51;26,64;25,93;25,25;26,60;26,88;26,54;27,22;2,44;3,590;10,122;11,623;0,25;348,44;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,91;26,39;27,44;26,64;25,86;24,96;26,77;26,81;26,44;27,18;2,44;3,590;10,122;11,617;0,25;172,11;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,93;26,41;27,44;26,63;25,90;25,34;26,47;26,83;26,49;27,17;2,41;3,590;10,122;11,606;0,25;127,56;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,91;26,39;27,44;26,63;26,00;24,90;27,10;26,83;26,53;27,14;2,44;3,590;10,122;11,618;0,25;225,12;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,98;26,47;27,49;26,63;26,04;25,12;26,96;26,89;26,56;27,22;2,41;3,585;10,094;11,573;0,25;135,16;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,96;26,43;27,49;26,63;25,95;25,20;26,70;26,85;26,52;27,19;2,45;3,590;10,122;11,624;0,25;839,74;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,89;26,38;27,39;26,62;25,93;24,91;26,96;26,80;26,51;27,09;2,45;3,590;10,122;11,620;0,25;381,60;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,93;26,44;27,41;26,62;25,90;24,90;26,90;26,81;26,49;27,12;2,45;3,590;10,122;11,624;0,25;237,52;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,93;26,39;27,47;26,62;25,93;24,76;27,10;26,82;26,45;27,19;2,44;3,590;10,122;11,616;0,25;393,77;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,87;26,34;27,39;26,62;25,96;25,17;26,75;26,81;26,50;27,12;2,44;3,590;10,122;11,618;0,25;380,47;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,91;26,40;27,41;26,62;25,89;25,32;26,47;26,81;26,49;27,13;2,44;3,590;10,122;11,617;0,25;497,81;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,93;26,42;27,44;26,61;25,88;25,24;26,53;26,82;26,51;27,14;2,41;3,590;10,122;11,603;0,25;106,63;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,87;26,37;27,38;26,61;25,89;25,13;26,65;26,80;26,47;27,12;2,44;3,590;10,122;11,618;0,25;208,06;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,83;26,29;27,37;26,61;25,80;24,96;26,65;26,73;26,38;27,08;2,45;3,590;10,122;11,624;0,25;152,04;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,91;26,38;27,43;26,61;26,00;25,49;26,52;26,81;26,48;27,15;2,44;3,590;10,122;11,617;0,25;516,90;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,92;26,40;27,45;26,60;25,54;24,74;26,35;26,77;26,44;27,10;2,45;3,590;10,122;11,630;0,25;899,94;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,93;26,40;27,46;26,60;25,60;24,66;26,55;26,78;26,46;27,10;2,41;3,590;10,122;11,606;0,25;88,26;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,92;26,43;27,41;26,59;25,99;25,37;26,62;26,81;26,49;27,12;2,44;3,590;10,122;11,623;0,25;202,04;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,89;26,40;27,38;26,60;25,91;25,33;26,48;26,79;26,45;27,12;2,44;3,590;10,122;11,619;0,25;215,49;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,87;26,34;27,39;26,59;25,71;24,84;26,57;26,75;26,41;27,09;2,41;3,590;10,122;11,607;0,25;103,28;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
26,88;26,38;27,38;26,59;25,76;25,04;26,48;26,79;26,44;27,13;2,42;3,590;10,122;11,609;0,25;77,34;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,7;23,8;n/a;n/a;n/a;1,00;200,000
